 Brazil	216,217,791	49.23%	1,580,204	0.75%	92
 Colombia	52,586,846	11.97%	678,395	1.37%	51
 Argentina	46,158,314	10.51%	419,527	0.95%	74
 Peru	34,246,598	7.80%	521,193	1.63%	43
 Venezuela	27,352,708	6.23%	−371,289	−1.29%	−54
 Chile	19,687,678	4.48%	222,878	1.19%	59
 Ecuador	18,338,653	4.18%	289,304	1.69%	41
 Bolivia	12,043,488	2.74%	159,958	1.41%	50
 Paraguay	7,337,484	1.67%	88,570	1.27%	55
 Uruguay	3,502,115	0.80%	12,449	0.36%	192
 Guyana	794,994	0.18%	3,760	0.48%	144
 Suriname	599,041	0.14%	5,382	0.93%	75
