px1,py1,pz1,E1,Q1,px2,py2,pz2,E2,Q2
-41.1952876442,17.4332438965,-68.9649618071,82.2018663875,1.0,34.1444372454,-16.1195245722,-47.4269843902,60.6218745939,-1.0
35.1180497674,-16.5703623299,-48.7752465359,62.3449289481,-1.0,-41.1952876442,17.4332438965,-68.9649618071,82.2018663875,1.0
35.1180497674,-16.5703623299,-48.7752465359,62.3449289481,-1.0,-40.8833234379,17.2992970366,-68.447255192,81.5827783316,1.0
34.1444372454,-16.1195245722,-47.4269843902,60.6218745939,-1.0,-40.8833234379,17.2992970366,-68.447255192,81.5827783316,1.0
22.7835819537,15.0364442927,-31.6898940061,41.826388912,1.0,-20.1773731496,-9.35414928366,44.5139546449,49.7607256565,-1.0
-19.8623073126,-9.20422532909,43.8170976651,48.9814069538,-1.0,22.7835819537,15.0364442927,-31.6898940061,41.826388912,1.0
-19.8623073126,-9.20422532909,43.8170976651,48.9814069538,-1.0,22.790561218,15.0407559338,-31.7025094043,41.8412988077,1.0
-20.1773731496,-9.35414928366,44.5139546449,49.7607256565,-1.0,22.790561218,15.0407559338,-31.7025094043,41.8412988077,1.0
71.1437106445,29.5423080462,-108.15055332,132.780754916,1.0,50.8709372248,-51.6697284126,-49.5020559048,87.7956592939,-1.0
51.0504859191,-51.849399871,-49.631327872,88.078330193,-1.0,71.1437106445,29.5423080462,-108.15055332,132.780754916,1.0
51.0504859191,-51.849399871,-49.631327872,88.078330193,-1.0,70.7692145959,29.3886245836,-107.565068526,132.069027861,1.0
50.8709372248,-51.6697284126,-49.5020559048,87.7956592939,-1.0,70.7692145959,29.3886245836,-107.565068526,132.069027861,1.0
44.4069877251,-3.13200262947,19.5453325913,48.6191442652,-1.0,-39.3064848043,10.8078645632,-22.4116362755,46.5199128151,1.0
-39.2088440426,10.7797516915,-22.3565682697,46.4043511557,1.0,44.4069877251,-3.13200262947,19.5453325913,48.6191442652,-1.0
-39.2088440426,10.7797516915,-22.3565682697,46.4043511557,1.0,44.4608118539,-3.13497667102,19.5738166084,48.6799479226,-1.0
-39.3064848043,10.8078645632,-22.4116362755,46.5199128151,1.0,44.4608118539,-3.13497667102,19.5738166084,48.6799479226,-1.0
27.2497877516,3.08356760612,-50.3888297876,57.3681501597,-1.0,-42.2425531093,-5.07655090178,-69.2916733505,81.3114495114,1.0
-42.0205470216,-5.05157615153,-68.9391662788,80.8941568008,1.0,27.2497877516,3.08356760612,-50.3888297876,57.3681501597,-1.0
